"CREATE_DATE","COMPLETE_DATE","X_COORD","Y_COORD","CALL_CNT"
2014-04-16,2014-05-01,1156205.158,1876618.612,1
2014-04-17,2014-04-28,1164528.873,1945927.878,1
2014-04-17,2014-04-29,1183036.573,1835824.22,1
2014-04-17,2014-04-29,1179595.856,1875832.66,1
2014-04-17,2014-04-30,1163963.884,1879954.362,1
2014-04-17,2014-04-21,1135516.643,1932051.649,1
2014-04-17,2014-04-21,1161621.886,1921563.484,1
2014-04-17,2014-04-23,1166418.401,1920934.558,1
2014-04-17,2014-04-24,1160767.26,1873439.833,1
2014-04-17,2014-04-17,1154162.153,1852652.869,1
2014-04-17,2014-04-17,1130923.716,1939697.667,1
2014-04-17,2014-04-17,1184003,1875682.537,1
2014-04-17,2014-04-18,1164674.89,1826868.53,1
2014-04-17,2014-04-18,1151285.935,1857559.995,1
2014-04-17,2014-08-02,1192470.669,1857359.911,1
2014-04-17,2014-07-10,1162634.4,1844102.115,1
2014-04-17,2014-06-11,1140301.734,1916447.323,1
2014-04-17,2014-06-12,1176826.5,1865757.595,1
2014-04-17,2014-06-06,1160489.66,1873433.633,1
2014-04-17,2014-08-25,1174684.234,1818786.158,1
2014-04-17,2014-05-16,1181875.88,1843080.56,1
2014-04-17,2014-05-14,1146981.779,1915702.302,1
2014-04-17,2014-05-15,1177215.582,1892449.184,1
2014-04-17,2014-05-08,1165024.943,1901783.262,1
2014-04-17,2014-05-08,1166514.449,1838377.835,1
2014-04-17,2014-05-08,1128726.576,1913956.217,1
2014-04-17,2014-05-08,1164013.3,1903783.93,1
2014-04-17,2014-05-02,1152530.428,1911944.647,1
2014-04-17,2014-05-02,1134630.497,1868029.155,1
2014-04-17,2014-05-06,1157535.497,1834034.121,1
2014-04-17,2014-05-06,1159957.137,1914998.193,1
2014-04-17,2014-05-06,1153308.165,1891491.145,1
2014-04-17,2014-05-01,1148527.16,1849153.964,1
2014-04-17,2014-05-01,1169174.338,1871404.639,1
2014-04-18,2014-04-29,1145150.266,1861647.517,1
2014-04-18,2014-04-20,1137382.454,1861146.844,1
2014-04-18,2014-04-21,1161712.749,1923991.287,1
2014-04-18,2014-04-21,1141207.336,1930319.474,1
2014-04-18,2014-04-21,1127662.48,1934969.749,1
2014-04-18,2014-04-21,1142344.55,1932451.6,1
2014-04-18,2014-04-23,1168419.332,1920388.707,1
2014-04-18,2014-04-22,1149759.413,1874830.262,1
